Episode,Throughput,Latency,Fairness
1,6000.0,80000.0,0.06666666666666667
2,21000.0,56000.0,0.06666666666666667
3,17000.0,25000.0,0.06666666666666667
4,29000.0,63000.0,0.06666666666666667
5,28000.0,66000.0,0.06666666666666667
6,18000.0,67000.0,0.06666666666666667
7,21000.0,71000.0,0.06666666666666667
8,13000.0,81000.0,0.06666666666666667
9,10000.0,67000.0,0.06666666666666667
10,22000.0,71000.0,0.06666666666666667
11,28000.0,51000.0,0.06666666666666667
12,30000.0,42000.0,0.06666666666666667
13,17000.0,31000.0,0.06666666666666667
14,17000.0,28000.0,0.06666666666666667
15,24000.0,47000.0,0.06666666666666667
16,10000.0,56000.0,0.06666666666666667
17,25000.0,59000.0,0.06666666666666667
18,7000.0,18000.0,0.06666666666666667
19,22000.0,43000.0,0.06666666666666667
20,17000.0,42000.0,0.06666666666666667
21,11000.0,61000.0,0.06666666666666667
22,1000.0,0.0,0.06666666666666662
23,27000.0,46000.0,0.06666666666666667
24,6000.0,67000.0,0.06666666666666667
25,25000.0,36000.0,0.06666666666666667
26,17000.0,55000.0,0.06666666666666667
27,10000.0,58000.0,0.06666666666666667
28,28000.0,72000.0,0.06666666666666667
29,20000.0,47000.0,0.06666666666666667
30,22000.0,39000.0,0.06666666666666667
31,26000.0,71000.0,0.06666666666666667
32,7000.0,69000.0,0.06666666666666667
33,15000.0,67000.0,0.06666666666666667
34,11000.0,46000.0,0.06666666666666667
35,23000.0,56000.0,0.06666666666666667
36,10000.0,85000.0,0.06666666666666667
37,14000.0,33000.0,0.06666666666666667
38,5000.0,34000.0,0.06666666666666667
39,30000.0,22000.0,0.06666666666666667
40,5000.0,92000.0,0.06666666666666667
41,20000.0,6000.0,0.06666666666666667
42,27000.0,56000.0,0.06666666666666667
43,19000.0,44000.0,0.06666666666666667
44,30000.0,12000.0,0.06666666666666667
45,25000.0,40000.0,0.06666666666666667
46,27000.0,48000.0,0.06666666666666667
47,12000.0,76000.0,0.06666666666666667
48,25000.0,39000.0,0.06666666666666667
49,24000.0,72000.0,0.06666666666666667
50,27000.0,39000.0,0.06666666666666667
51,24000.0,68000.0,0.06666666666666667
52,5000.0,38000.0,0.06666666666666667
53,23000.0,63000.0,0.06666666666666667
54,9000.0,53000.0,0.06666666666666667
55,23000.0,64000.0,0.06666666666666667
56,8000.0,42000.0,0.06666666666666667
57,5000.0,33000.0,0.06666666666666667
58,12000.0,73000.0,0.06666666666666667
59,28000.0,55000.0,0.06666666666666667
60,30000.0,28000.0,0.06666666666666667
61,14000.0,64000.0,0.06666666666666667
62,8000.0,81000.0,0.06666666666666667
63,6000.0,80000.0,0.06666666666666667
64,16000.0,59000.0,0.06666666666666667
65,21000.0,54000.0,0.06666666666666667
66,10000.0,89000.0,0.06666666666666667
67,22000.0,78000.0,0.06666666666666667
68,10000.0,64000.0,0.06666666666666667
69,23000.0,52000.0,0.06666666666666667
70,5000.0,71000.0,0.06666666666666667
71,15000.0,73000.0,0.06666666666666667
72,25000.0,62000.0,0.06666666666666667
73,27000.0,56000.0,0.06666666666666667
74,30000.0,42000.0,0.06666666666666667
75,14000.0,69000.0,0.06666666666666667
76,19000.0,68000.0,0.06666666666666667
77,7000.0,62000.0,0.06666666666666667
78,13000.0,52000.0,0.06666666666666667
79,10000.0,73000.0,0.06666666666666667
80,13000.0,25000.0,0.06666666666666667
81,7000.0,89000.0,0.06666666666666667
82,7000.0,56000.0,0.06666666666666667
83,10000.0,51000.0,0.06666666666666667
84,13000.0,7000.0,0.06666666666666667
85,9000.0,67000.0,0.06666666666666667
86,6000.0,75000.0,0.06666666666666667
87,26000.0,72000.0,0.06666666666666667
88,14000.0,76000.0,0.06666666666666667
89,22000.0,59000.0,0.06666666666666667
90,17000.0,71000.0,0.06666666666666667
91,23000.0,64000.0,0.06666666666666667
92,17000.0,33000.0,0.06666666666666667
93,25000.0,56000.0,0.06666666666666667
94,2000.0,0.0,0.06666666666666665
95,19000.0,75000.0,0.06666666666666667
96,22000.0,52000.0,0.06666666666666667
97,5000.0,81000.0,0.06666666666666667
98,7000.0,71000.0,0.06666666666666667
99,23000.0,68000.0,0.06666666666666667
100,27000.0,72000.0,0.06666666666666667
