#{"t_start": 1782112103.0071537, "env_id": "None"}
r,l,t
4374.0,1000,3.138304
3955.0,1000,4.072306
3673.0,1000,4.745306
3547.0,1000,5.445307
3930.0,1000,6.444308
3449.0,1000,7.273302
3098.0,1000,8.013304
2313.0,1000,8.875309
3432.0,1000,9.893302
2953.0,1000,10.606615
3770.0,1000,11.349615
2973.0,1000,12.260615
3816.0,1000,13.101614
3926.0,1000,13.87962
3013.0,1000,14.958058
3154.0,1000,15.948059
3886.0,1000,16.880057
3053.0,1000,17.892059
4204.0,1000,18.828599
2923.0,1000,19.784595
2084.0,1000,20.776595
2991.0,1000,21.710595
2195.0,1000,22.59472
3351.0,1000,23.39972
3902.0,1000,24.242719
2820.0,1000,25.088721
4116.0,1000,26.52472
3560.0,1000,27.430719
2379.0,1000,28.217728
2526.0,1000,29.16272
3104.0,1000,30.19372
2936.0,1000,31.045721
2661.0,1000,32.76788
4066.0,1000,33.835881
4831.0,1000,34.895396
3044.0,1000,36.237395
3220.0,1000,37.617397
4194.0,1000,38.572396
2502.0,1000,39.825396
1864.0,1000,40.827395
3414.0,1000,41.741398
2279.0,1000,42.782402
2727.0,1000,43.940851
2466.0,1000,44.842853
4822.0,1000,45.885856
2360.0,1000,46.989288
1568.0,1000,47.942288
2704.0,1000,48.93929
3445.0,1000,50.10329
3576.0,1000,50.966804
